### components that are shown in the ship designer :: shields

### power requirement

@power_S3 = -25
@power_M3 = -65
@power_L3 = -150

@power_S4 = -30
@power_M4 = -75
@power_L4 = -185

@power_S5 = -35
@power_M5 = -85
@power_L5 = -210
 
@power_S6 = -45
@power_M6 = -115
@power_L6 = -280

@power_S7 = -50
@power_M7 = -125
@power_L7 = -315

@power_S8 = -55
@power_M8 = -135
@power_L8 = -340

@power_S9 = -60
@power_M9 = -145
@power_L9 = -375

@power_S10 = -65
@power_M10 = -155
@power_L10 = -410

@power_S11 = -75
@power_M11 = -165
@power_L11 = -445

### mineral cost
@cost_S3 = 9
@cost_M3 = 18
@cost_L3 = 36

@cost_S4 = 12
@cost_M4 = 24
@cost_L4 = 48

@cost_S5 = 15
@cost_M5 = 30
@cost_L5 = 45
           
@cost_S6 = 20
@cost_M6 = 40
@cost_L6 = 80

@cost_S7 = 25
@cost_M7 = 50
@cost_L7 = 100

@cost_S8 = 30
@cost_M8 = 60
@cost_L8 = 120

@cost_S9 = 35
@cost_M9 = 70
@cost_L9 = 140

@cost_S10 = 40
@cost_M10 = 80
@cost_L10 = 160

@cost_S11 = 45
@cost_M11 = 90
@cost_L11 = 180

### strength and regen
@shield_S4 = 110
@shield_M4 = 275
@shield_L4 = 685

@shield_S5 = 140
@shield_M5 = 350
@shield_L5 = 875

@shield_S6 = 180
@shield_M6 = 450
@shield_L6 = 1150

@shield_S7 = 230
@shield_M7 = 510
@shield_L7 = 1345

@shield_S8 = 295
@shield_M8 = 620
@shield_L8 = 1670

@shield_S9 = 380
@shield_M9 = 750
@shield_L9 = 2070

@shield_S10 = 480
@shield_M10 = 910
@shield_L10 = 2565

@shield_SS = 650
@shield_MS = 1200
@shield_LS = 3000

@shield_SS2 = 715
@shield_SM2 = 1320
@shield_SL2 = 3200

@regen_S1 = 0.50
@regen_M1 = 1.25
@regen_L1 = 3.15

@regen_S2 = 0.65
@regen_M2 = 1.60
@regen_L2 = 4.05

@regen_S3 = 0.85
@regen_M3 = 2.15
@regen_L3 = 5.25

@regen_S4 = 1.10
@regen_M4 = 2.75
@regen_L4 = 6.85

@regen_S5 = 1.40
@regen_M5 = 3.50
@regen_L5 = 8.75

